case_id,category,concept_tag,severity,osi_layer,symptom,topology_note,show_output,expected_fault,expected_next_command,network_snapshot_json,checker_findable,checker_check
C001,VLAN,missing-vlan-on-switch,High,Layer 2,PC1 in the Sales office cannot get an IP from DHCP and cannot ping its default gateway.,PC1 -> Fa0/5 on SW1 (configured for VLAN 10) -> trunk to SW-Core -> Router-on-a-stick.,"SW1#show interfaces fa0/5 switchport
Name: Fa0/5
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 10 (Inactive)
Trunking Native Mode VLAN: 1 (default)

SW1#show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
20   ENGINEERING                      active    Fa0/6, Fa0/7","VLAN 10 is assigned to Fa0/5 but does not exist in the VLAN database, so the port is inactive and PC1 is isolated at Layer 2.",show vlan brief; vlan 10 (global config) then name SALES,"{""hosts"":[{""name"":""PC1"",""ip"":null,""mask"":null,""gateway"":null,""vlan"":10}],""interfaces"":[],""vlans"":[{""id"":1,""name"":""default""},{""id"":20,""name"":""ENGINEERING""}],""switchports"":[{""port"":""Fa0/5"",""vlan"":10,""mode"":""access""}],""routes"":[],""required_routes"":[]}",True,missing_vlan
C002,VLAN,trunk-native-vlan-mismatch,Medium,Layer 2,Devices on VLAN 30 across two switches intermittently lose connectivity and CDP reports native VLAN warnings.,"SW1 Gi0/1 trunk to SW2 Gi0/1, both carrying VLAN 10/20/30.","SW1#show interfaces gi0/1 trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

SW2#show interfaces gi0/1 trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      99

%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on Gi0/1 (1), with SW2 Gi0/1 (99)",Native VLAN mismatch between the two trunk ends (VLAN 1 vs VLAN 99) causes untagged traffic to leak between VLANs.,show interfaces trunk on both switches; correct native vlan to match,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":1,""name"":""default""},{""id"":10,""name"":""DATA""},{""id"":20,""name"":""VOICE""},{""id"":30,""name"":""MGMT""}],""switchports"":[],""routes"":[],""required_routes"":[]}",False,"none (trunk/native-vlan mismatch, not covered by the 6 rules)"
C003,VLAN,wrong-vlan-assigned,Medium,Layer 2,A finance PC was moved to a new cube; it now lands on the guest VLAN and cannot reach the finance server.,"PC (finance) -> Fa0/12 on SW3, previously access vlan 40 (FINANCE), currently access vlan 50 (GUEST).","SW3#show interfaces fa0/12 switchport
Name: Fa0/12
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 50 (GUEST)
Voice VLAN: none

SW3#show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
40   FINANCE                          active    Fa0/10, Fa0/11
50   GUEST                            active    Fa0/12, Fa0/13",Port Fa0/12 is administratively assigned to VLAN 50 (GUEST) instead of VLAN 40 (FINANCE); VLAN exists but is the wrong one for this host.,show interfaces fa0/12 switchport; switchport access vlan 40,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":40,""name"":""FINANCE""},{""id"":50,""name"":""GUEST""}],""switchports"":[{""port"":""Fa0/12"",""vlan"":50,""mode"":""access""}],""routes"":[],""required_routes"":[]}",False,"none (VLAN exists, just the wrong one - requires intent/config comparison, not a deterministic rule)"
C004,VLAN,missing-vlan-on-switch,High,Layer 2,New Voice VLAN 60 was configured on the router subinterface but phones on SW4 never get an IP.,IP Phone -> Fa0/8 on SW4 (voice vlan 60 configured) -> trunk to Router subinterface Gi0/0.60.,"SW4#show interfaces fa0/8 switchport
Name: Fa0/8
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 1 (default)
Voice VLAN: 60 (Inactive)

SW4#show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/8, Fa0/9","Voice VLAN 60 is referenced on the port but was never created in the VLAN database, so voice traffic has no VLAN to join.",show vlan brief; vlan 60 (global config) then name VOICE,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":1,""name"":""default""}],""switchports"":[{""port"":""Fa0/8"",""vlan"":60,""mode"":""voice""}],""routes"":[],""required_routes"":[]}",True,missing_vlan
C005,VLAN,access-port-set-as-trunk,Medium,Layer 2,A single desktop PC receives traffic from multiple VLANs and its NIC shows constant broadcast flooding.,"PC1 -> Fa0/15 on SW2, port was accidentally left in trunk mode after a template copy.","SW2#show interfaces fa0/15 switchport
Name: Fa0/15
Switchport: Enabled
Administrative Mode: trunk
Operational Mode: trunk
Trunking VLANs Enabled: ALL","Fa0/15 is operating as a trunk instead of an access port, so PC1 receives tagged traffic from every VLAN allowed on the trunk.",show interfaces fa0/15 switchport; switchport mode access; switchport access vlan <id>,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":1,""name"":""default""}],""switchports"":[{""port"":""Fa0/15"",""vlan"":null,""mode"":""trunk""}],""routes"":[],""required_routes"":[]}",False,"none (port mode issue, not one of the 6 rules)"
C006,VLAN,missing-vlan-on-switch,High,Layer 2,Lab PC3 cannot obtain an IP address at all; link light is on but the port never comes fully up in Packet Tracer.,"PC3 -> Fa0/18 on SW5, assigned to VLAN 25 (LAB) which was deleted during cleanup but never removed from the port.","SW5#show interfaces fa0/18 switchport
Name: Fa0/18
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 25 (Inactive)

SW5#show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active","VLAN 25 was removed from the VLAN database but Fa0/18 is still assigned to it, leaving the port inactive.",show vlan brief; vlan 25 (recreate) or move port with switchport access vlan 1,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":1,""name"":""default""}],""switchports"":[{""port"":""Fa0/18"",""vlan"":25,""mode"":""access""}],""routes"":[],""required_routes"":[]}",True,missing_vlan
C007,Gateway,gateway-mismatch,High,Layer 3,"PC2 gets an IP via DHCP but cannot ping anything outside its own subnet, including the router.","PC2 on VLAN 10, subnet 192.168.10.0/24. Router subinterface Gi0/0.10 is 192.168.10.1.","PC2> ipconfig
IP Address......: 192.168.10.55
Subnet Mask......: 255.255.255.0
Default Gateway...: 192.168.1.1

Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10  192.168.10.1    YES manual up                    up",PC2's default gateway (192.168.1.1) is not the router's VLAN 10 interface address (192.168.10.1) and is not even in the same subnet as the PC.,ipconfig /all on PC2; correct default gateway to 192.168.10.1,"{""hosts"":[{""name"":""PC2"",""ip"":""192.168.10.55"",""mask"":""255.255.255.0"",""gateway"":""192.168.1.1"",""vlan"":10}],""interfaces"":[{""name"":""Gi0/0.10"",""ip"":""192.168.10.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":10}],""vlans"":[{""id"":10,""name"":""DATA""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,gateway_mismatch
C008,Gateway,wrong-subnet-mask,High,Layer 3,PC4 can ping its own gateway but cannot reach a server that is only 10 addresses away in the same VLAN.,"PC4 and Server1 are both on VLAN 20, intended subnet 192.168.20.0/24.","PC4> ipconfig
IP Address......: 192.168.20.40
Subnet Mask......: 255.255.255.192
Default Gateway...: 192.168.20.1

Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.20  192.168.20.1    YES manual up                    up","PC4 uses a /26 mask (255.255.255.192) while the VLAN 20 interface uses /24 (255.255.255.0), so PC4 calculates a smaller subnet and treats the server as remote.",ipconfig /all on PC4; correct subnet mask to 255.255.255.0,"{""hosts"":[{""name"":""PC4"",""ip"":""192.168.20.40"",""mask"":""255.255.255.192"",""gateway"":""192.168.20.1"",""vlan"":20}],""interfaces"":[{""name"":""Gi0/0.20"",""ip"":""192.168.20.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":20}],""vlans"":[{""id"":20,""name"":""ENGINEERING""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,wrong_subnet_mask
C009,Gateway,duplicate-ip,High,Layer 3,Two lab PCs both show intermittent 'IP address conflict' popups and one keeps dropping off the network.,PC5 and PC6 are both configured statically on VLAN 10.,"PC5> ipconfig
IP Address......: 192.168.10.20
Subnet Mask......: 255.255.255.0
Default Gateway...: 192.168.10.1

PC6> ipconfig
IP Address......: 192.168.10.20
Subnet Mask......: 255.255.255.0
Default Gateway...: 192.168.10.1

%DUPADDR-3-DUPLICATE_ADDRESS: Duplicate address 192.168.10.20 on VLAN10","PC5 and PC6 are both statically configured with 192.168.10.20, causing an IP address conflict on VLAN 10.",ipconfig on both hosts; reassign PC6 to an unused address such as 192.168.10.21,"{""hosts"":[{""name"":""PC5"",""ip"":""192.168.10.20"",""mask"":""255.255.255.0"",""gateway"":""192.168.10.1"",""vlan"":10},{""name"":""PC6"",""ip"":""192.168.10.20"",""mask"":""255.255.255.0"",""gateway"":""192.168.10.1"",""vlan"":10}],""interfaces"":[{""name"":""Gi0/0.10"",""ip"":""192.168.10.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":10}],""vlans"":[{""id"":10,""name"":""DATA""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,duplicate_ip
C010,Gateway,gateway-mismatch,Medium,Layer 3,A newly imaged laptop can reach its own subnet but not the internet; it worked fine before the reimage.,"Laptop on VLAN 30, subnet 192.168.30.0/24, gateway should be 192.168.30.1.","Laptop> ipconfig
IP Address......: 192.168.30.75
Subnet Mask......: 255.255.255.0
Default Gateway...: 192.168.30.254

Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.30  192.168.30.1    YES manual up                    up",The reimage left a stale gateway (192.168.30.254) that does not match the actual router VLAN 30 interface (192.168.30.1).,ipconfig /all; correct default gateway to 192.168.30.1,"{""hosts"":[{""name"":""Laptop"",""ip"":""192.168.30.75"",""mask"":""255.255.255.0"",""gateway"":""192.168.30.254"",""vlan"":30}],""interfaces"":[{""name"":""Gi0/0.30"",""ip"":""192.168.30.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":30}],""vlans"":[{""id"":30,""name"":""MGMT""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,gateway_mismatch
